year,data_status_code,property_type_sort,property_type_code,property_type,market_segment_sort,market_segment_code,market_segment,district_sort,district_code,district,num_units,price_per_m2,median_price,total_price,num_units_clean
2010,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,88,8112.0,940000.0,83569603.0,88.0
2010,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,14,12639.0,1478500.0,23744077.0,14.0
2010,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,80,11475.0,1294594.0,131334962.0,80.0
2010,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,20,11168.0,1241462.0,31320925.0,20.0
2010,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,26-30,13216.0,2147500.0,54935537.0,26.0
2010,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,12,13333.0,2120311.0,22533500.0,12.0
2010,D,1,22,Kauf,1,J,Ja,74,74,Witikon,22,8016.0,845000.0,22545000.0,22.0
2010,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,21-30,11008.0,1367500.0,39771000.0,21.0
2010,D,1,22,Kauf,1,J,Ja,81,81,Seefeld,8-12,10923.0,1513000.0,18124000.0,8.0
2010,D,1,22,Kauf,1,J,Ja,82,82,Mühlebach,17,10917.0,655000.0,20397000.0,17.0
2010,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,25,7429.0,675000.0,18019250.0,25.0
2010,D,1,22,Kauf,1,J,Ja,91,91,Albisrieden,19,7429.0,675000.0,13950000.0,19.0
2010,D,1,22,Kauf,1,J,Ja,92,92,Altstetten,6,7596.0,643875.0,4069250.0,6.0
2010,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,92,8747.0,1194188.0,108718630.0,92.0
2010,D,1,22,Kauf,1,J,Ja,101,101,Höngg,42,8094.0,1030000.0,44814254.0,42.0
2010,D,1,22,Kauf,1,J,Ja,102,102,Wipkingen,50,9279.0,1305000.0,63904376.0,50.0
2010,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,180,5498.0,601000.0,112934087.0,180.0
2010,D,1,22,Kauf,1,J,Ja,111,111,Affoltern,71,5123.0,565000.0,42182000.0,71.0
2010,D,1,22,Kauf,1,J,Ja,115,115,Oerlikon,32,6923.0,660000.0,20647217.0,32.0
2010,D,1,22,Kauf,1,J,Ja,119,119,Seebach,77-81,5605.0,612500.0,50104870.0,77.0
2010,D,1,22,Kauf,1,J,Ja,120,12,Kreis 12,9,6231.0,685000.0,5150000.0,9.0
2010,D,1,22,Kauf,1,J,Ja,123,123,Hirzenbach,6–8,6295.0,695000.0,4455000.0,6.0
2011,D,1,22,Kauf,1,J,Ja,0,0,Zurich (Total),567,8900.0,835000.0,578979991.0,567.0
2011,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,8,11347.0,925000.0,8875300.0,8.0
2011,D,1,22,Kauf,1,J,Ja,11,11,Rathaus,5–7,9997.0,515000.0,4325300.0,5.0
2011,D,1,22,Kauf,1,J,Ja,20,2,Kreis 2,30,8416.0,820000.0,30370000.0,30.0
2011,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,19,8265.0,820000.0,17850000.0,19.0
2011,D,1,22,Kauf,1,J,Ja,23,23,Leimbach,3-9,6842.0,740000.0,2350000.0,3.0
2011,D,1,22,Kauf,1,J,Ja,24,24,Enge,8–10,10163.0,1217500.0,10170000.0,8.0
2011,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,46,7935.0,490156.0,32183497.0,46.0
2011,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,27,5714.0,400000.0,19136941.0,27.0
2011,D,1,22,Kauf,1,J,Ja,33,33,Friesenberg,14,9409.0,517500.0,7196000.0,14.0
