"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2010,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd","1-3",7266,465000,465000
2010,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse","15-19",8317,769000,11114256
2010,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard","3–5",5600,247500,1467500
2010,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5","61",8495,890000,59117900
2010,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule","14",6267,634776,9829400
2010,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss","47",8598,945000,49288500
2010,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6","102",8168,982500,107313680
2010,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass","88",8112,940000,83569603
2010,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass","14",12639,1478500,23744077
2010,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7","80",11475,1294594,131334962
2010,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern","20",11168,1241462,31320925
2010,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen","26-30",13216,2147500,54935537
2010,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden","12",13333,2120311,22533500
2010,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon","22",8016,845000,22545000
2010,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8","21-30",11008,1367500,39771000
2010,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld","8-12",10923,1513000,18124000
2010,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach","17",10917,655000,20397000
2010,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg","1-3",13441,1250000,1250000
2010,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9","25",7429,675000,18019250
2010,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden","19",7429,675000,13950000
2010,"D",1,"22","Kauf",1,"J","Ja",92,"092","Altstetten","6",7596,643875,4069250
2010,"D",1,"22","Kauf",1,"J","Ja",100,"10","Kreis 10","92",8747,1194188,108718630
2010,"D",1,"22","Kauf",1,"J","Ja",101,"101","Höngg","42",8094,1030000,44814254
2010,"D",1,"22","Kauf",1,"J","Ja",102,"102","Wipkingen","50",9279,1305000,63904376
